SL. No.,Heads of Crime,Year - 1969,Year - 1970,Year - 1971,Year - 1972,Year - 1973
1,Murder,1.7,1.6,1.7,1.6,1.6
2,Kidnapping & Abduction,1,1.1,1,1,0.9
3,Dacoity,0.7,1,1.2,1,1
4,Robbery,1.2,1.8,1.9,1.7,1.8
5,Burglary,17.3,17.4,17.4,17,16.9
6,Theft,35.5,35.3,35.2,35.1,35.2
7,Riots,6.6,7.1,6.7,6.7,6.8
8,Criminal Breach of Trust,2.5,2.4,2.1,2.1,2
9,Cheating,1.4,1.3,1.2,1.3,1.3
10,Counterfeiting,0.1,0.1,0.1,0.1,0.1
11,Miscellaneous,32,30.9,31.5,32.4,32.4
Total,Total,100,100,100,100,100
