Sr. No.,Crime Head,2005*,2006,2007,2008#,2009++
1,Arms Act,2.3,2.4,2,2,1.8
2,Narcotic Drugs & Psychotropic Substances Act,0.9,1,0.8,0.8,0.6
3,Gambling Act,5.9,5.4,4.9,4.1,3.6
4,Excise Act,4.7,4.6,3.8,4.2,4.1
5,Prohibition Act,10.2,9.8,9.2,9.4,8.5
6,Explosives & Explosive Substances Act,0.1,0.1,0.1,0.1,0.1
7,Immoral Traffic (P) Act,0.2,0.1,0.1,0.1,0.1
8,Indian Railways Act,0,0,0,0,0
9,Registration of Foreigners Act,0.1,0.1,0.1,0,0
10,Protection of Civil Rights Act - Total,0,0,0,0,0
10,Protection of Civil Rights Act - (I) PCR Act for SCs,0,0,0,0,0
10,Protection of Civil Rights Act - (II) PCR Act for STs,0,0,0,0,0
11,Indian Passport Act,0,0,0,0,0
12,Essential Commodities Act,0.2,0.3,0.2,0.2,0.2
13,Terrorist & Disruptive Activities Act,0,0,0,0,0
14,Antiquities & Art Treasures Act,0,0,0,0,0
15,Dowry Prohibition Act,0.1,0.1,0.2,0.1,0.1
16,Child Marriage Restraint Act ##,0,0,0,0,0
17,Indecent Representation of Women (p) Act,0.1,0,0,0,0
18,Copyrights Act,0.2,0.2,0.2,0.2,0.1
19,Sati Prevention Act,0,0,0,0,0
20,SC/ST (Prevention of Atrocities) Act - Total,0.3,0.3,0.3,0.3,0.3
20,SC/ST (Prevention of Atrocities) Act - (I) Prevention of Attrocities Act for SCs,0.3,0.3,0.3,0.3,0.2
20,SC/ST (Prevention of Atrocities) Act - (II) Prevention of Attrocities Act for STs,0,0,0,0,0
21,Forest Act,0.1,0.1,0.1,0.1,0.1
22,Other Sll Crimes,74.5,75.4,78,78.2,80.4
23,Total Cognizable Crimes Under Sll,100,100,100,100,100
