SL. No.,Heads of Crime,1981,1982,1983,1984,1985
1,Murder,1.6,1.5,1.6,1.9,1.9
2,Culpable Homicide Not Amounting to Murder,0.2,0.2,0.2,0.3,0.3
3,Rape,0.4,0.3,0.4,0.5,0.5
4,Kidnapping & Abduction,1,1,1,1.1,1.2
5,Dacoity,1.1,1.1,1.1,0.9,0.8
6,Robbery,1.6,1.7,1.7,1.7,1.6
7,Burglary,11.4,12.6,12.2,10,9.4
8,Theft,30.5,32.2,31.5,24.3,23.9
9,Riots,7.9,7.4,7.8,7.5,7.2
10,Criminal Breach of Trust,1.5,1.6,1.5,1.4,1.3
11,Cheating,1.3,1.4,1.3,1.4,1.5
12,Counterfeiting,0.1,0.1,0.1,0.1,0.1
13,Other IPC Offences,41.4,38.9,39.6,48.9,50.3
Total,Total,100,100,100,100,100
