SL. No.,Heads of Crime,Year - 1966,Year - 1967,Year - 1968,Year - 1969,Year - 1970
1,Murder,1.6,1.5,1.6,1.7,1.6
2,Kidnapping & Abduction,1,0.9,1,1,1.1
3,Dacoity,0.6,0.7,0.7,0.7,1
4,Robbery,1.1,1.1,1.2,1.2,1.8
5,House-breaking,18.9,19.7,18.1,17.3,17.4
6,Cattle Thefts,3.3,3,3,2.6,35.3
7,Ordinary Thefts,34.4,35.5,33.6,32.9,NA
8,Riot,4.4,4.8,5.3,6.6,7.1
9,Criminal Breach of Trust,2.8,2.7,2.6,2.5,2.4
10,Cheating,1.5,1.5,1.5,1.4,1.3
11,Counterfeiting,0.1,0.2,0.2,0.1,0.1
12,Miscellaneous,30.3,28.4,31.2,32,30.9
Total,Total,100,100,100,100,100
