SL. No.,Crime Head,1987,1988,1989,1990,1991
1,Arms Act,1.5,1.4,1.4,1.8,1.8
2,Narcotic Drugs & Psychotropic Substances Act,0.3,0.4,0.3,0.4,0.6
3,Gambling Act,4.6,4.5,4.2,5.1,5
4,Excise Act,2.6,2.3,2.3,2.9,2.8
5,Prohibition Act,15.4,17,18.5,18.1,16.3
6,Explosive & Explosive Substances Act,0.1,0.1,0.1,0.2,0.2
7,Immoral Traffic (P) Act,0.4,0.4,0.3,0.5,0.4
8,Indian Railways Act,0.5,1,0.9,1.2,1
9,Foreigners Registration Act,*,0,0.1,0.1,0.1
10,Protection Of Civil Rights Act,*,0.1,0.1,0.1,0.1
11,Indian Passport Act,*,0,0,0,0
12,Essential Commodities Act,*,0.2,0.3,0.2,0.2
13,Terrorist & Disruptive Activites Act,*,0,0,0.1,0.1
14,Antiquity & Art Treasure Act,*,0,0,0,0
15,Dowry Prohibition Act,*,0.1,0,0.1,0.1
16,Other LSL Crimes,74.6,72.5,71.3,69.4,71.2
17,Total Cognizable Crimes Under LSL,100,100,100,100,100
