S. No.,City,Year - 2014,Year - 2015,Year - 2016,Percentage City Share To Total (2016),Rank Based on Incidence/ Percentage share (2016)
1,Ahmedabad (Gujarat),66,60,96,5.9,7
2,Bengaluru (Karnataka),159,140,207,12.8,4
3,Chennai (Tamil Nadu),16,13,10,0.6,17
4,Coimbatore (Tamil Nadu),9,3,3,0.2,19
5,Delhi,70,33,46,2.8,9
6,Ghaziabad (Uttar Pradesh),38,39,64,3.9,8
7,Hyderabad (Telangana),160,116,139,8.6,5
8,Indore (Madhya Pradesh),60,55,36,2.2,11
9,Jaipur (Rajasthan),297,297,219,13.5,3
10,Kanpur (Uttar Pradesh),146,94,107,6.6,6
11,Kochi (Kerala),26,20,35,2.2,12
12,Kolkata (West Bengal),9,10,9,0.6,18
13,Kozhikode (Kerala),18,26,29,1.8,14
14,Lucknow (Uttar Pradesh),61,146,262,16.2,1
15,Mumbai (Maharashtra),35,34,30,1.8,13
16,Nagpur (Maharashtra),33,27,29,1.8,15
17,Patna (Bihar),249,321,241,14.9,2
18,Pune (Maharashtra),55,19,41,2.5,10
19,Surat (Gujarat),6,11,19,1.2,16
Total Cities,Total Cities,1513,1464,1622,100,NA
