SL. No.,Crime Head,1985,1986,1987,1988,1989
1,Murder,1.9,1.9,2,2,2
2,Attempt to Commit Murder,*,*,*,1.4,1.6
3,C.H. Not Amounting to Murder,0.3,0.3,0.3,0.3,0.3
4,Rape,0.5,0.6,0.6,0.6,0.6
5,Kidnapping & Abduction,1.2,1.1,1.1,1.1,1.1
5,I) Of Women & Girls,*,*,*,1,0.9
5,II) Of Others,*,*,*,0.1,0.2
6,Dacoity,0.8,0.7,0.7,0.6,0.6
7,Preparation & Assembly for Dacoity,*,*,*,0.1,0.1
8,Robbery,1.6,1.6,1.6,1.5,1.5
9,Burglary,9.4,9.2,8.9,8.6,8.4
10,Theft,23.9,23,22.1,22.2,22.3
11,Riots,7.2,6.7,6.5,6.6,6.5
12,Criminal Breach of Trust,1.3,1.4,1.3,1.2,1.1
13,Cheating,1.5,1.6,1.6,1.6,1.5
14,Counterfeiting,0.1,0.1,0.1,0.1,0.1
15,Other IPC Crimes,50.3,51.8,53.3,52.1,52.1
16,Total Cognizable Crimes Under IPC,100,100,100,100,100
