SL. No.,Category,Crime Heads,1968,1969,1970,1971,1972
1,IPC Crimes,Murder,2.4,2.32,2.38,2.36,2.47
2,IPC Crimes,Culpable Homicide Not Amounting to Murder,NA,NA,NA,1.75,NA
3,IPC Crimes,Rape,NA,NA,NA,1.21,NA
4,IPC Crimes,Kidnapping & Abduction,1.43,1.39,1.25,1.27,1.33
5,IPC Crimes,Dacoity,4.73,4.6,3.51,3.52,4.27
6,IPC Crimes,Robbery,1.19,1.1,0.83,0.89,1.02
7,IPC Crimes,Burglary,0.58,0.58,0.49,0.52,0.55
8,IPC Crimes,Thefts,0.64,0.61,0.54,0.56,0.58
9,IPC Crimes,Riots,5.84,6.92,5.14,5.08,5.83
10,IPC Crimes,Criminal Breach of Trust,0.66,0.66,0.54,0.65,0.63
11,IPC Crimes,Cheating,0.87,0.84,0.82,0.78,0.79
12,IPC Crimes,Counterfeiting,0.42,0.59,0.47,0.67,0.5
13,IPC Crimes,Total Cognizable Crime,1.21,1.22,1.17,1.19,1.25
1,Crime Under Local and Special Laws,Arms Act,NA,NA,NA,1.01,1.01
2,Crime Under Local and Special Laws,Opium Act,NA,NA,NA,1.02,1.02
3,Crime Under Local and Special Laws,Gambling Act,NA,NA,NA,1.77,1.67
4,Crime Under Local and Special Laws,Excise Act,NA,NA,NA,1.01,0.94
5,Crime Under Local and Special Laws,Prohibition Act,NA,NA,NA,0.93,0.91
6,Crime Under Local and Special Laws,Explosives & Explosive Substances Act,NA,NA,NA,1.79,1.38
7,Crime Under Local and Special Laws,Suppression of Immoral Traffic Act,NA,NA,NA,1.06,1
8,Crime Under Local and Special Laws,Motor Vehicles Act,NA,NA,NA,0.98,1.01
9,Crime Under Local and Special Laws,Prevention of Corruption Act,NA,NA,NA,1.06,0.56
10,Crime Under Local and Special Laws,Customs Act,NA,NA,NA,1.06,1.96
11,Crime Under Local and Special Laws,Indian Railways Act,NA,NA,NA,1.11,1.09
12,Crime Under Local and Special Laws,Other Offences,NA,NA,NA,1.02,0.99
13,Crime Under Local and Special Laws,Total Cognizable Crimes,NA,NA,NA,1.04,1.04
