Category,State/UT,Number of - Death Reported,Number of - Autopsy Conducted,Number of - Magisterial Enquiry Ordered/Conducted,Number of - Judicial Enquiry Ordered/Conducted,Number of - Cases Regd. in Connection with Deaths,Number of - Policemen Chargesheeted,Number of - Policemen Convicted
State,Andhra Pradesh,3,3,1,1,3,0,0
State,Arunachal Pradesh,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0,0
State,Goa,0,0,0,0,0,0,0
State,Gujarat,1,1,1,0,1,0,0
State,Haryana,0,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0
State,Karnataka,0,0,0,0,0,0,0
State,Kerala,0,0,0,0,0,0,0
State,Madhya Pradesh,1,1,1,0,0,1,0
State,Maharashtra,1,1,0,0,0,0,0
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0
State,Orissa,0,0,0,0,0,0,0
State,Punjab,0,0,0,0,0,0,0
State,Rajasthan,0,0,0,0,0,0,0
State,Sikkim,0,0,0,0,0,0,0
State,Tamil Nadu,1,1,1,0,1,0,0
State,Tripura,0,0,0,0,0,0,0
State,Uttar Pradesh,1,1,1,0,1,0,0
State,Uttaranchal,0,0,0,0,0,0,0
State,West Bengal,1,1,1,1,0,0,0
State,Total (States),9,9,6,2,6,1,0
Union Territory,A & N Islands,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0
Union Territory,Daman & Diu,NA,NA,NA,NA,NA,NA,NA
Union Territory,Delhi,0,0,0,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,0,0,0,0
Total (All-India),Total (All-India),9,9,6,2,6,1,0
